Final_settlement_date,contract_delivery_month,code,Final_settlement_price,TWII_open,TWII_close,TWII_adj
2014-03-19,201403,TXO,8696,8745,8689,8689
2014-06-18,201406,TXO,9302,9257,9279,9279
2014-09-17,201409,TXO,9172,9171,9195,9195
2014-12-17,201412,TXO,8843,8961,8828,8828
2015-03-18,201503,TXO,9633,9563,9653,9653
2015-06-17,201506,TXO,9181,9232,9189,9189
2015-09-16,201509,TXO,8318,8298,8333,8333
2015-12-16,201512,TXO,8198,8144,8184,8184
2016-03-16,201603,TXO,8691,8637,8699,8699
2016-06-15,201606,TXO,8602,8566,8606,8606
2016-09-21,201609,TXO,9221,9141,9228,9228
2016-12-21,201612,TXO,9232,9234,9204,9204
2017-03-15,201703,TXO,9733,9741,9740,9740
2017-06-21,201706,TXO,10369,10310,10349,10349
2017-09-20,201709,TXO,10510,10568,10519,10519
2017-12-20,201712,TXO,10497,10470,10504,10504
2018-03-21,201803,TXO,11045,11037,11011,11011
2018-06-20,201806,TXO,10936,10904,10927,10927
2018-09-19,201809,TXO,10872,10808,10857,10857
2018-12-19,201812,TXO,9768,9720,9783,9783
